"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"Met",0.10062205859169,-0.0371078833964565,-0.0213525392244833,-0.104410320082046,-0.110223066241281,0.111477931054544,0.0389943796814073,0.030257242411776
"Orn",0.0973732950271538,-0.105519859132144,0.034139322785991,-0.0897443620791084,-0.0370688275918361,0.0539223418052737,-0.0382017260903139,-0.0861916193767332
"Phe",0.103351891208683,-0.079273909642128,-0.0376070818814421,-0.0198238937112516,-0.0647901744666938,0.0294244026063188,0.0048390244727256,0.00750169447152186
"Ser",0.0932154782476172,0.0123225313128998,-0.212947382863037,-0.00570588430654827,-0.0819197984267664,-0.00250365743169695,-0.0392564041632583,-0.0309470757950031
"Thr",0.0974238196769359,-0.0740343059180724,-0.148877025674084,-0.00313201039942944,-0.0457585497997266,-0.0356779849446133,-0.043465338278318,-0.0215560046747794
"Tyr",0.0973779148454508,-0.0812310573894743,-0.135177690740588,-0.00624309500637346,-0.0439797721862906,-0.0428918114095168,-0.0649250670567152,-0.0219037754089615
"Val",0.100805743645382,-0.100159721204441,-0.00834692228141324,-0.0537170951207612,-0.0391106999632008,0.010334278036013,-0.00869688079742055,0.0084260044446385
"c4.OH.Pro",0.012604025097034,-0.187532303765268,-0.0471171223120981,-0.317699379083385,-0.0138944082324181,-0.0681901812381411,-0.0833116572439259,-0.0668414084083798
"Creatinine",0.0693826388515543,-0.102261999664908,0.0175212899029942,-0.212559908660812,0.163188438155925,0.0612480397983232,-0.244367902961196,0.340884120166096
"Putrescine",0.0947598181851086,-0.12830436441306,0.0713142054364012,0.0046743864781634,0.010140913193833,-0.00196625913200485,0.0197172366642309,0.0447083254128792
"Spermidine",0.0932323135714754,-0.135188780656714,0.0709832871541121,0.0023226595352337,0.0103669565185638,-0.00171772663986049,0.00390085646738018,0.0507564789258021
"Spermine",0.0940358107422867,-0.127055623760304,0.0896772570118269,-0.00409973272872863,0.0120242378891729,-0.00594437020611924,-0.00824286192006478,0.0481971884678527
"lysoPC.a.C16.0",0.100551503546974,-0.0649941321171998,0.127626366413576,-0.0404140886384939,-0.0155780045736587,-0.0436303972521233,0.00773350849218324,0.204449965284287
"lysoPC.a.C17.0",0.0831552166405466,-0.101937070605333,0.139091625762755,0.0401321180828793,0.210795765009789,-0.000216363632235332,0.0295355251502269,0.0440563082173857
"lysoPC.a.C18.0",0.106174798196927,0.0048966064343913,0.105207953504976,0.00562316792628337,-0.0079064633061667,-0.0126617611214629,-0.0411743316799234,0.0956708263076878
"lysoPC.a.C18.1",0.101832406909207,-0.0799745827624873,0.0874902898701775,-0.0233914635844748,0.00846018720700551,-0.0232705251926673,0.051713950725846,0.0402068456109005
"lysoPC.a.C18.2",0.0992862349721626,-0.100391044684802,0.0831501813710522,-0.031432412415857,0.00821120395041244,-0.0210924002127872,-0.0106943236774371,0.0502754841376659
"lysoPC.a.C20.4",0.103128487491234,-0.0591025154073048,0.0905262314840229,-0.0225534301829385,0.0106253456101299,-0.0470953242136715,-0.0827034610065311,0.0269188429387167
"lysoPC.a.C24.0",0.0763235259464919,0.151912796990716,0.0252190282530731,-0.165697810842321,-0.103975093428423,0.0779580027781393,0.0678321195065494,0.323727033420144
"lysoPC.a.C26.0",0.0849959257301895,0.107054507410225,0.103004510942729,-0.187109624144925,-0.0217547513751616,-0.0367561008331132,0.0935510752652752,0.0395867870213799
"lysoPC.a.C26.1",0.0864567260786015,0.102206124059454,0.0556816275381276,0.0979042299503494,0.199450398068888,0.0882851375208902,-0.000358030983594263,-0.103701655292193
"lysoPC.a.C28.0",0.0834125318176361,0.103266867190708,0.197880352304363,0.0363446329242407,-0.0145824828507218,0.130091783705708,-0.00354134472346659,-0.000449226251162173
"lysoPC.a.C28.1",0.0506245057948653,0.19179254412841,0.173490594145217,-0.113086876664632,-0.073338544374604,0.107529943245382,-0.00461880868436346,0.102065010202684
"PC.aa.C24.0",0.0748702201104733,0.103633680994665,0.139348240967319,-0.225308464221336,-0.0728649047649916,0.096361884218455,-0.00525280490707926,-0.094606617283217
"PC.aa.C26.0",0.0892202953030973,0.0845135248861283,0.122737072596829,-0.158709675261525,-0.0833220183648216,0.0387735903588488,0.0772989293959341,0.0174266877257527
