"","Metabolite","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p.adjusted","fold_change"
"79","PC.ae.C38.0",-1.56764731204337,-6.51290946053487,0.0073529666846321,3,-2.33365725374931,-0.801637370337436,"Paired t-test","two.sided",0.0379742073541439,2.36036036036036
"80","PC.ae.C38.1",-1.52858299073075,-3.91211537789776,0.0296805084373855,3,-2.77206198387452,-0.285103997586971,"Paired t-test","two.sided",0.0749874010154374,2.89451476793249
"81","PC.ae.C38.2",-1.42646875639557,-2.93975842901254,0.060521986940576,3,-2.97069775786443,0.117760245073297,"Paired t-test","two.sided",0.0957142167613456,2.55230125523013
"82","PC.ae.C38.3",-1.68510112822677,-8.36855371085453,0.00357794380030562,3,-2.32592199702263,-1.0442802594309,"Paired t-test","two.sided",0.0286653538520115,2.61490683229814
"83","PC.ae.C38.4",-1.24598343889932,-2.98404844925726,0.0584076465874262,3,-2.57480750425817,0.0828406264595389,"Paired t-test","two.sided",0.0954265775231189,2.1063122923588
"84","PC.ae.C38.5",-1.13772490015137,-2.0090659201015,0.138108212317013,3,-2.93992977988626,0.664479979583525,"Paired t-test","two.sided",0.186285495683413,1.90309555854643
"85","PC.ae.C38.6",-1.22211755095853,-3.17519750210688,0.0502792488298704,3,-2.44702512980665,0.00279002788959504,"Paired t-test","two.sided",0.0858775320851622,1.88475836431227
"86","PC.ae.C40.1",-1.61097829611443,-5.63832069702595,0.0110383551361405,3,-2.52026533419758,-0.701691258031288,"Paired t-test","two.sided",0.0446921729677832,2.79010494752624
"87","PC.ae.C40.2",-1.61845551368266,-4.48300619061314,0.0206997751542085,3,-2.76738271805955,-0.469528309305776,"Paired t-test","two.sided",0.0646094270671293,2.75182481751825
"88","PC.ae.C40.3",-1.3417757271029,-3.32573165167047,0.0448617571710429,3,-2.62574258086067,-0.0578088733451235,"Paired t-test","two.sided",0.0843681342638519,2.08
"89","PC.ae.C40.4",-1.69045807473537,-10.0317210334684,0.00210873852605158,3,-2.22673615067371,-1.15417999879703,"Paired t-test","two.sided",0.0203844724184986,2.40314136125654
"90","PC.ae.C40.5",-1.48943124632368,-4.40310815688155,0.0217221349622245,3,-2.56595146748354,-0.412911025163822,"Paired t-test","two.sided",0.0646094270671293,2.31413612565445
"91","PC.ae.C40.6",-1.16379030980855,-1.86718750226425,0.158695041198039,3,-3.14736194740997,0.819781327792869,"Paired t-test","two.sided",0.209127792139284,1.85906040268456
"92","PC.ae.C42.1",-1.02435186432774,-3.78549275585288,0.0323221556101023,3,-1.88551975347507,-0.16318397518042,"Paired t-test","two.sided",0.0749874010154374,1.27952755905512
"93","PC.ae.C42.2",-1.52291217969816,-3.17036651557562,0.050466449204648,3,-3.05162698782565,0.0058026284293207,"Paired t-test","two.sided",0.0858775320851622,2.46153846153846
"94","PC.ae.C42.3",-1.57536226153842,-3.55260164512574,0.0380200746691693,3,-2.98658319468046,-0.16414132839637,"Paired t-test","two.sided",0.0788741720622042,2.70526315789474
"95","Phe",-1.73572630791599,-10.6242242887949,0.00178196151258617,3,-2.25565657533673,-1.21579604049526,"Paired t-test","two.sided",0.0203844724184986,8.114689709348
"96","Putrescine",-1.8684508965341,-58.9959526095314,1.07288968877822e-05,3,-1.96924161842708,-1.76766017464112,"Paired t-test","two.sided",0.000848409764023636,13.9444053483462
"97","Ser",-1.13350983741942,-5.26031645429053,0.0133854568775712,3,-1.81927356008593,-0.447746114752911,"Paired t-test","two.sided",0.0485222811811957,8.92093453009504
"98","SM..OH..C14.1",-0.888121432144278,-1.39457521116953,0.257470657063195,3,-2.91483089014513,1.13858802585657,"Paired t-test","two.sided",0.317729747014155,1.33076181292189
"99","SM..OH..C16.1",-1.34465886797823,-3.40147504480925,0.0424153216512855,3,-2.60273208324248,-0.0865856527139762,"Paired t-test","two.sided",0.0833928357889681,1.801872074883
"100","SM..OH..C22.1",-1.54178585576308,-3.89428396584686,0.030035299609801,3,-2.80174808328515,-0.28182362824101,"Paired t-test","two.sided",0.0749874010154374,4.07246376811594
"101","SM..OH..C22.2",-1.34762009577552,-2.15585775461749,0.120043137352355,3,-3.33695755811093,0.641717366559895,"Paired t-test","two.sided",0.165773856343728,4.10576923076923
"102","SM..OH..C24.1",-1.6790616575642,-6.18507923269189,0.00851146026903226,3,-2.54299942900212,-0.815123886126292,"Paired t-test","two.sided",0.0379742073541439,4.57894736842105
"103","SM.C16.0",-1.2582270095873,-2.87269767715086,0.0639091659589734,3,-2.65212234696255,0.135668327787942,"Paired t-test","two.sided",0.0975455690952752,1.78517397881997
"104","SM.C16.1",-0.170339902596513,-0.295949047736362,0.786572425517955,3,-2.00206599804106,1.66138619284803,"Paired t-test","two.sided",0.807454879292768,1.03203261502621
"105","SM.C18.0",-1.45185946265945,-3.83187294092977,0.0313208129267531,3,-2.65765747683124,-0.246061448487653,"Paired t-test","two.sided",0.0749874010154374,2.44624746450304
